
9	14	19	152	13	66	14	6	4	56	1839	2533	3980

9	14	18	152	13	66	14	6	4	59	1837	2530	3979

9	14	18	152	13	66	14	6	4	59	1834	2531	3977

9	14	18	179	15	64	14	6	4	98	1835	2530	3976

9	14	18	179	15	64	14	6	4	60	1834	2530	3979

9	14	19	179	15	64	14	6	4	78	1833	2534	3971

10	15	19	242	36	66	14	4	2	60	1834	2531	3973

10	15	19	242	36	66	14	4	2	61	1832	2532	3974

10	15	18	242	36	66	14	4	2	59	1839	2530	3974

10	15	17	227	32	68	12	4	2	59	1839	2527	3982

10	15	17	227	32	68	12	4	2	69	1837	2532	3973

10	15	17	227	32	68	12	4	2	53	1834	2531	3982

11	15	16	1	51	66	8	2	2	103	1836	2529	3981

11	15	16	1	51	66	8	2	2	61	1833	2530	3977

11	15	16	1	51	66	8	2	2	72	1835	2529	3979

11	16	20	76	81	72	12	2	2	60	1837	2535	3980

11	16	20	76	81	72	12	2	2	58	1836	2529	3971

11	16	20	76	81	72	12	2	2	59	1836	2530	3972

12	18	21	109	98	76	14	4	4	59	1835	2531	3979

12	18	21	109	98	76	14	4	4	117	1834	2531	3971

12	18	21	109	98	76	14	4	4	62	1828	2532	3976

12	18	22	148	106	78	14	4	4	59	1835	2531	3976

12	17	22	148	106	78	14	4	4	58	1836	2530	3984

12	17	22	148	106	78	14	4	4	62	1833	2531	3988

12	17	22	187	110	82	14	4	4	58	1841	2530	3977

12	18	22	187	110	82	14	4	4	81	1836	2531	3980

12	18	22	187	110	82	14	4	4	60	1834	2532	3979

11	16	21	181	91	84	12	4	4	66	1836	2526	3977

11	16	21	181	91	84	12	4	4	59	1838	2531	3978

11	16	21	181	91	84	12	4	4	60	1835	2531	3981

10	15	20	233	48	76	12	4	4	58	1841	2533	3985

10	15	20	233	48	76	12	4	4	58	1833	2532	3981

10	15	20	233	48	76	12	4	4	58	1834	2529	3984

10	15	20	143	33	78	12	4	4	59	1838	2527	3984

10	15	20	143	33	78	12	4	4	59	1832	2527	3980

10	15	20	143	33	78	12	4	4	62	1837	2531	3983

10	14	18	116	21	78	10	4	4	57	1836	2530	3982

10	14	18	116	21	78	10	4	4	59	1834	2529	3978

10	14	18	116	21	78	10	4	4	58	1835	2528	3977

10	14	16	98	9	72	8	2	2	60	1832	2527	3984

10	14	16	98	9	72	8	2	2	58	1834	2532	3978

10	14	16	98	9	72	8	2	2	88	1836	2533	3976

9	13	16	56	244	68	8	2	2	64	1838	2533	3987

9	13	16	56	244	68	8	2	2	72	1834	2532	3982

9	13	16	56	244	68	8	2	2	61	1835	2531	3978

9	12	15	23	227	58	6	2	2	61	1833	2528	3978

9	12	15	23	227	58	6	2	2	58	1833	2535	3990

9	12	15	23	227	58	6	2	2	59	1836	2530	3987

9	12	13	2	213	58	4	0	0	59	1836	2530	3981

9	12	13	2	213	58	4	0	0	68	1841	2530	3986

9	12	13	2	213	58	4	0	0	59	1835	2529	3991

8	12	14	219	207	58	6	2	2	55	1835	2533	3992

8	12	14	219	207	58	6	2	2	61	1834	2528	3980

8	12	14	219	207	58	6	2	2	65	1836	2532	3981

9	11	14	153	201	52	4	2	2	64	1837	2530	3983

9	11	14	153	201	52	4	2	2	56	1834	2529	3986

9	11	14	153	201	52	4	2	2	61	1834	2532	3983

